plasma1.fb,tep_fep.to_SDS_Fraction[1],i_iss.T,blanket.TBR,Doubling_Time,Self_Sufficiency_Time,Startup_Inventory
0.02,0.69333,4.0,1.05.1,,1328.0,2929.9716129544895
0.02,0.69333,4.0,1.05.2,,1328.0,2929.9716129544895
0.02,0.69333,4.0,1.05.3,,1328.0,2929.9716129544895
0.02,0.69333,4.0,1.05.4,,1328.0,2929.9716129544895
0.02,0.69333,4.0,1.05.5,,1328.0,2929.9716129544895
0.02,0.69333,4.0,1.11667.1,8324.0,118.0,2793.1067539850674
0.02,0.69333,4.0,1.11667.2,8324.0,118.0,2793.1067539850674
0.02,0.69333,4.0,1.11667.3,8324.0,118.0,2793.1067539850674
0.02,0.69333,4.0,1.18333.1,4575.0,99.0,2756.197941897051
0.02,0.69333,4.0,1.18333.2,4575.0,99.0,2756.197941897051
0.02,0.69333,4.0,1.18333.3,4575.0,99.0,2756.197941897051
0.02,0.69333,4.0,1.18333.4,4575.0,99.0,2756.197941897051
0.02,0.69333,4.0,1.18333.5,4575.0,99.0,2756.197941897051
0.02,0.69333,4.0,1.25.1,3140.0,89.0,2727.219444567042
0.02,0.69333,4.0,1.25.2,3140.0,89.0,2727.219444567042
0.02,0.69333,4.0,1.25.3,3140.0,89.0,2727.219444567042
0.02,0.69333,4.0,1.25.4,3140.0,89.0,2727.219444567042
0.02,0.69333,4.0,1.25.5,3140.0,89.0,2727.219444567042
0.02,0.69333,4.0,1.25.6,3140.0,89.0,2727.219444567042
0.02,0.69333,6.66667,1.05,,1328.0,3707.3064102597073
0.02,0.69333,6.66667,1.11667,9346.0,118.0,3570.4407819971425
0.02,0.69333,6.66667,1.18333,5143.0,99.0,3533.531834389888
0.02,0.69333,6.66667,1.25,3534.0,89.0,3504.550151681545
0.02,0.69333,6.66667,1.05.1,,1328.0,3707.3064102597073
0.02,0.69333,6.66667,1.05.2,,1328.0,3707.3064102597073
0.02,0.69333,6.66667,1.05.3,,1328.0,3707.3064102597073
0.02,0.69333,6.66667,1.05.4,,1328.0,3707.3064102597073
0.02,0.69333,6.66667,1.05.5,,1328.0,3707.3064102597073
0.02,0.69333,6.66667,1.11667.1,9346.0,118.0,3570.4407819971425
0.02,0.69333,6.66667,1.18333.1,5143.0,99.0,3533.531834389888
0.02,0.69333,6.66667,1.18333.2,5143.0,99.0,3533.531834389888
0.02,0.69333,6.66667,1.18333.3,5143.0,99.0,3533.531834389888
0.02,0.69333,6.66667,1.25.1,3534.0,89.0,3504.550151681545
0.02,0.69333,6.66667,1.25.2,3534.0,89.0,3504.550151681545
0.02,0.69333,6.66667,1.25.3,3534.0,89.0,3504.550151681545
0.02,0.69333,6.66667,1.25.4,3534.0,89.0,3504.550151681545
0.02,0.69333,9.33333,1.05,,1328.0,4484.612050323933
0.02,0.69333,9.33333,1.11667,,118.0,4347.735570678343
0.02,0.69333,9.33333,1.18333,5710.0,99.0,4310.757035419607
0.02,0.69333,9.33333,1.25,3927.0,90.0,4281.629302198685
0.02,0.69333,9.33333,1.05.1,,1328.0,4484.612050323933
0.02,0.69333,9.33333,1.05.2,,1328.0,4484.612050323933
0.02,0.69333,9.33333,1.05.3,,1328.0,4484.612050323933
0.02,0.69333,9.33333,1.05.4,,1328.0,4484.612050323933
0.02,0.69333,9.33333,1.11667.1,,118.0,4347.735570678343
0.02,0.69333,9.33333,1.11667.2,,118.0,4347.735570678343
0.02,0.69333,9.33333,1.11667.3,,118.0,4347.735570678343
0.02,0.69333,9.33333,1.18333.1,5710.0,99.0,4310.757035419607
0.02,0.69333,9.33333,1.18333.2,5710.0,99.0,4310.757035419607
0.02,0.69333,9.33333,1.18333.3,5710.0,99.0,4310.757035419607
0.02,0.69333,9.33333,1.18333.4,5710.0,99.0,4310.757035419607
0.02,0.69333,9.33333,1.25.1,3927.0,90.0,4281.629302198685
0.02,0.69333,9.33333,1.25.2,3927.0,90.0,4281.629302198685
0.02,0.69333,9.33333,1.25.3,3927.0,90.0,4281.629302198685
0.02,0.69333,9.33333,1.25.4,3927.0,90.0,4281.629302198685
0.02,0.69333,9.33333,1.25.5,3927.0,90.0,4281.629302198685
0.02,0.69333,9.33333,1.25.6,3927.0,90.0,4281.629302198685
0.02,0.69333,9.33333,1.25.7,3927.0,90.0,4281.629302198685
0.02,0.69333,12.0,1.05,,1328.0,5261.894173645715
0.02,0.69333,12.0,1.11667,,118.0,5124.812269225833
0.02,0.69333,12.0,1.18333,6276.0,101.0,5087.13207148911
0.02,0.69333,12.0,1.25,4319.0,92.0,5056.978030131722
0.02,0.69333,12.0,1.05.1,,1328.0,5261.894173645715
0.02,0.69333,12.0,1.05.2,,1328.0,5261.894173645715
0.02,0.69333,12.0,1.05.3,,1328.0,5261.894173645715
0.02,0.69333,12.0,1.05.4,,1328.0,5261.894173645715
0.02,0.69333,12.0,1.05.5,,1328.0,5261.894173645715
0.02,0.69333,12.0,1.11667.1,,118.0,5124.812269225833
0.02,0.69333,12.0,1.11667.2,,118.0,5124.812269225833
0.02,0.69333,12.0,1.11667.3,,118.0,5124.812269225833
0.02,0.69333,12.0,1.18333.1,6276.0,101.0,5087.13207148911
0.02,0.69333,12.0,1.18333.2,6276.0,101.0,5087.13207148911
0.02,0.69333,12.0,1.18333.3,6276.0,101.0,5087.13207148911
0.02,0.69333,12.0,1.25.1,4319.0,92.0,5056.978030131722
0.02,0.69333,12.0,1.25.2,4319.0,92.0,5056.978030131722
0.02,0.69333,12.0,1.25.3,4319.0,92.0,5056.978030131722
0.02,0.69333,12.0,1.25.4,4319.0,92.0,5056.978030131722
0.02,0.69333,12.0,1.25.5,4319.0,92.0,5056.978030131722
0.02,0.69333,12.0,1.25.6,4319.0,92.0,5056.978030131722
0.02,0.99,4.0,1.05,,629.0,1427.72081768037
0.02,0.99,4.0,1.11667,5812.0,114.0,1354.60519098391
0.02,0.99,4.0,1.18333,3318.0,97.0,1319.170778834216
0.02,0.99,4.0,1.25,2310.0,88.0,1290.994646018305
0.02,0.99,4.0,1.05.1,,629.0,1427.72081768037
0.02,0.99,4.0,1.05.2,,629.0,1427.72081768037
0.02,0.99,4.0,1.05.3,,629.0,1427.72081768037
0.02,0.99,4.0,1.05.4,,629.0,1427.72081768037
0.02,0.99,4.0,1.11667.1,5812.0,114.0,1354.60519098391
0.02,0.99,4.0,1.11667.2,5812.0,114.0,1354.60519098391
0.02,0.99,4.0,1.11667.3,5812.0,114.0,1354.60519098391
0.02,0.99,4.0,1.11667.4,5812.0,114.0,1354.60519098391
0.02,0.99,4.0,1.18333.1,3318.0,97.0,1319.170778834216
0.02,0.99,4.0,1.18333.2,3318.0,97.0,1319.170778834216
0.02,0.99,4.0,1.25.1,2310.0,88.0,1290.994646018305
0.02,0.99,4.0,1.25.2,2310.0,88.0,1290.994646018305
0.02,0.99,6.66667,1.05,,629.0,1453.06822827941
0.02,0.99,6.66667,1.11667,5842.0,114.0,1379.952576654037
0.02,0.99,6.66667,1.18333,3336.0,97.0,1344.518148447086
0.02,0.99,6.66667,1.25,2322.0,88.0,1316.341887093036
0.02,0.99,6.66667,1.05.1,,629.0,1453.06822827941
0.02,0.99,6.66667,1.05.2,,629.0,1453.06822827941
0.02,0.99,6.66667,1.05.3,,629.0,1453.06822827941
0.02,0.99,6.66667,1.05.4,,629.0,1453.06822827941
0.02,0.99,6.66667,1.11667.1,5842.0,114.0,1379.952576654037
0.02,0.99,6.66667,1.11667.2,5842.0,114.0,1379.952576654037
0.02,0.99,6.66667,1.11667.3,5842.0,114.0,1379.952576654037
0.02,0.99,6.66667,1.11667.4,5842.0,114.0,1379.952576654037
0.02,0.99,6.66667,1.11667.5,5842.0,114.0,1379.952576654037
0.02,0.99,6.66667,1.11667.6,5842.0,114.0,1379.952576654037
0.02,0.99,6.66667,1.11667.7,5842.0,114.0,1379.952576654037
0.02,0.99,6.66667,1.11667.8,5842.0,114.0,1379.952576654037
0.02,0.99,6.66667,1.11667.9,5842.0,114.0,1379.952576654037
0.02,0.99,6.66667,1.18333.1,3336.0,97.0,1344.518148447086
0.02,0.99,6.66667,1.18333.2,3336.0,97.0,1344.518148447086
0.02,0.99,6.66667,1.18333.3,3336.0,97.0,1344.518148447086
