time,sds.I[1]&plasma1.fb=0.04,sds.I[1]&plasma1.fb=0.06,sds.I[1]&plasma1.fb=0.08,sds.I[1]&plasma1.fb=0.1,sds.I[1]&plasma1.fb=0.12,sds.I[1]&plasma1.fb=0.14,sds.I[1]&plasma1.fb=0.16
7109.0,5361.941084762175,6249.407139303122,6695.251127961308,6964.374607505409,7145.0869353554,7275.238317204389,7373.755528367613
7110.0,5362.665759864506,6250.188054142121,6696.060162750776,6965.200514325383,7145.924090300528,7276.083506599043,7374.606743665627
7111.0,5363.390434660859,6250.968967645218,6696.869195689392,6966.026418985553,7146.761242879874,7276.928693480791,7375.457956340389
7112.0,5364.115109151235,6251.749879812412,6697.678226777154,6966.852321485919,7147.598393093438,7277.77387784963,7376.309166391899
7113.0,5364.839783335633,6252.530790643703,6698.487256014065,6967.678221826478,7148.435540941222,7278.619059705564,7377.160373820158
7114.0,5365.564457214055,6253.31170013909,6699.296283400124,6968.504120007234,7149.272686423224,7279.464239048591,7378.011578625167
7115.0,5366.289130786497,6254.092608298576,6700.105308935329,6969.330016028184,7150.109829539445,7280.30941587871,7378.862780806925
7116.0,5367.013804052963,6254.873515122159,6700.914332619684,6970.155909889329,7150.946970289883,7281.154590195922,7379.713980365431
7117.0,5367.738477013451,6255.654420609838,6701.723354453185,6970.981801590669,7151.784108674541,7281.999762000227,7380.565177300686
7118.0,5368.463149667961,6256.435324761615,6702.532374435833,6971.807691132203,7152.621244693418,7282.844931291625,7381.41637161269
7119.0,5369.187822016494,6257.216227577488,6703.34139256763,6972.633578513934,7153.458378346512,7283.690098070116,7382.267563301442
7120.0,5369.912494059051,6257.997129057459,6704.150408848574,6973.459463735858,7154.295509633826,7284.535262335699,7383.118752366943
7121.0,5370.637165795629,6258.778029201527,6704.959423278667,6974.285346797978,7155.132638555358,7285.380424088376,7383.969938809192
7122.0,5371.361837226229,6259.558928009693,6705.768435857906,6975.111227700293,7155.96976511111,7286.225583328146,7384.821122628191
7123.0,5372.086508350852,6260.339825481956,6706.577446586294,6975.937106442802,7156.806889301079,7287.070740055007,7385.672303823939
7124.0,5372.811179169497,6261.120721618315,6707.386455463828,6976.762983025507,7157.644011125267,7287.915894268964,7386.523482396435
7125.0,5373.535849682165,6261.901616418771,6708.195462490511,6977.588857448407,7158.481130583674,7288.761045970012,7387.37465834568
7126.0,5374.260519888855,6262.682509883325,6709.004467666342,6978.414729711501,7159.318247676299,7289.606195158153,7388.225831671673
7127.0,5374.985189789568,6263.463402011977,6709.813470991318,6979.240599814791,7160.155362403143,7290.451341833388,7389.077002374416
7128.0,5375.709859384304,6264.244292804725,6710.622472465445,6980.066467758275,7160.992474764205,7291.296485995716,7389.928170453906
7129.0,5376.43452867306,6265.025182261569,6711.431472088718,6980.892333541955,7161.829584759487,7292.141627645136,7390.779335910147
7130.0,5377.159197655841,6265.806070382512,6712.240469861138,6981.718197165829,7162.666692388987,7292.98676678165,7391.630498743136
7131.0,5377.883866332644,6266.586957167551,6713.049465782708,6982.544058629899,7163.503797652705,7293.831903405256,7392.481658952873
7132.0,5378.608532229115,6267.367840534465,6713.858457967263,6983.369916165631,7164.340898860535,7294.677035881864,7393.332814947281
7133.0,5379.333197553485,6268.14872234153,6714.667448098106,6984.195771351348,7165.177997520806,7295.522165669815,7394.183968147206
7134.0,5380.057862491741,6268.929602745252,6715.476436317008,6985.021624319984,7166.015093760559,7296.367292891934,7395.035118672316
7135.0,5380.78252704388,6269.710481745634,6716.285422623971,6985.847475071535,7166.852187579793,7297.212417548222,7395.886266522612
7136.0,5381.507191209905,6270.491359342675,6717.094407018992,6986.673323606003,7167.689278978507,7298.05753963868,7396.737411698092
7137.0,5382.231854989815,6271.272235536377,6717.903389502074,6987.499169923388,7168.526367956701,7298.902659163306,7397.588554198758
7138.0,5382.956518383608,6272.053110326738,6718.712370073215,6988.325014023691,7169.363454514376,7299.747776122102,7398.439694024611
7139.0,5383.681181391286,6272.833983713757,6719.521348732417,6989.150855906909,7170.200538651531,7300.592890515067,7399.290831175648
7140.0,5384.40584401285,6273.614855697438,6720.330325479679,6989.976695573045,7171.037620368167,7301.438002342201,7400.141965651871
7141.0,5385.130506248298,6274.395726277776,6721.139300315001,6990.802533022097,7171.874699664283,7302.283111603504,7400.993097453281
7142.0,5385.855168097631,6275.176595454775,6721.948273238382,6991.628368254068,7172.71177653988,7303.128218298976,7401.844226579875
7143.0,5386.579829560848,6275.957463228433,6722.757244249824,6992.454201268954,7173.548850994957,7303.973322428617,7402.695353031654
7144.0,5387.30449063795,6276.738329598751,6723.566213349325,6993.280032066757,7174.385923029516,7304.818423992428,7403.546476808619
7145.0,5388.029151328938,6277.519194565728,6724.375180536886,6994.105860647478,7175.222992643553,7305.663522990406,7404.397597910772
7146.0,5388.753811633808,6278.300058129364,6725.184145812508,6994.931687011116,7176.060059837072,7306.508619422554,7405.248716338107
7147.0,5389.478471552564,6279.08092028966,6725.993109176189,6995.75751115767,7176.897124610072,7307.353713288871,7406.09983209063
7148.0,5390.203131085205,6279.861781046616,6726.80207062793,6996.583333087141,7177.734186962552,7308.198804589359,7406.950945168338
7149.0,5390.927790231731,6280.64264040023,6727.611030167731,6997.40915279953,7178.571246894511,7309.043893324015,7407.802055571231
7150.0,5391.652448992141,6281.423498350505,6728.419987795592,6998.234970294834,7179.408304405952,7309.888979492839,7408.653163299309
7151.0,5392.377107366437,6282.204354897439,6729.228943511513,6999.060785573056,7180.245359496874,7310.734063095832,7409.504268352573
7152.0,5393.101765354616,6282.985210041033,6730.037897315494,6999.886598634194,7181.082412167275,7311.579144132995,7410.355370731025
7153.0,5393.82642295668,6283.766063781286,6730.846849207534,7000.712409478251,7181.919462417157,7312.424222604327,7411.206470434659
7154.0,5394.55108017263,6284.546916118198,6731.655799187634,7001.538218105223,7182.756510246521,7313.269298509827,7412.05756746348
7155.0,5395.275737002463,6285.32776705177,6732.464747255795,7002.364024515113,7183.593555655364,7314.114371849498,7412.908661817488
7156.0,5396.000393446181,6286.108616582001,6733.273693412016,7003.189828707918,7184.430598643687,7314.959442623336,7413.75975349668
7157.0,5396.725049503784,6286.889464708893,6734.082637656296,7004.015630683642,7185.267639211492,7315.804510831344,7414.610842501057
7158.0,5397.449705175271,6287.670311432443,6734.891579988636,7004.841430442283,7186.104677358777,7316.649576473522,7415.461928830621
7159.0,5398.174360460644,6288.451156752652,6735.700520409036,7005.667227983839,7186.941713085542,7317.494639549868,7416.31301248537
7160.0,5398.899015359902,6289.232000669522,6736.509458917497,7006.493023308313,7187.778746391787,7318.339700060384,7417.164093465304
7161.0,5399.623669873044,6290.01284318305,6737.318395514017,7007.318816415705,7188.615777277513,7319.184758005068,7418.015171770424
7162.0,5400.348324000071,6290.793684293239,6738.127330198597,7008.144607306013,7189.452805742721,7320.029813383921,7418.86624740073
7163.0,5401.072977740981,6291.574524000087,6738.936262971238,7008.970395979238,7190.289831787408,7320.874866196944,7419.717320356221
7164.0,5401.797631095777,6292.355362303593,6739.745193831937,7009.796182435379,7191.126855411575,7321.719916444135,7420.568390636897
7165.0,5402.522284064457,6293.13619920376,6740.554122780697,7010.621966674438,7191.963876615224,7322.564964125496,7421.41945824276
7166.0,5403.246936647022,6293.917034700587,6741.363049817516,7011.447748696413,7192.800895398353,7323.410009241026,7422.270523173807
7167.0,5403.971588843473,6294.697868794073,6742.171974942396,7012.273528501306,7193.637911760962,7324.255051790725,7423.121585430041
7168.0,5404.696240653808,6295.478701484218,6742.980898155335,7013.099306089115,7194.474925703052,7325.100091774592,7423.972645011459
7169.0,5405.420892078027,6296.259532771022,6743.789819456335,7013.925081459842,7195.311937224622,7325.945129192629,7424.823701918064
7170.0,5406.145543116131,6297.040362654486,6744.598738845394,7014.750854613485,7196.148946325673,7326.790164044835,7425.674756149854
7171.0,5406.87019376812,6297.82119113461,6745.407656322514,7015.576625550045,7196.985953006204,7327.63519633121,7426.525807706829
7172.0,5407.594844033993,6298.602018211393,6746.216571887693,7016.402394269522,7197.822957266216,7328.480226051754,7427.37685658899
7173.0,5408.319493913751,6299.382843884836,6747.025485540932,7017.228160771916,7198.659959105708,7329.325253206467,7428.227902796338
7174.0,5409.044143407394,6300.163668154938,6747.83439728223,7018.053925057226,7199.496958524681,7330.17027779535,7429.078946328869
7175.0,5409.768792514922,6300.944491021699,6748.643307111591,7018.879687125454,7200.333955523133,7331.015299818401,7429.929987186587
7176.0,5410.493441236334,6301.72531248512,6749.452215029009,7019.7054469766,7201.170950101067,7331.860319275622,7430.781025369491
7177.0,5411.21808957163,6302.506132545201,6750.261121034488,7020.531204610661,7202.007942258482,7332.705336167011,7431.63206087758
7178.0,5411.942737520812,6303.286951201941,6751.070025128027,7021.356960027639,7202.844931995377,7333.55035049257,7432.483093710854
7179.0,5412.667385083879,6304.06776845534,6751.878927309625,7022.182713227534,7203.681919311752,7334.395362252298,7433.334123869315
7180.0,5413.392032260829,6304.848584305399,6752.687827579284,7023.008464210347,7204.518904207608,7335.240371446194,7434.18515135296
7181.0,5414.116679051665,6305.629398752118,6753.496725937003,7023.834212976076,7205.355886682944,7336.08537807426,7435.036176161791
7182.0,5414.841325456386,6306.410211795496,6754.305622382782,7024.659959524722,7206.192866737762,7336.930382136495,7435.887198295808
7183.0,5415.565971474991,6307.191023435534,6755.114516916619,7025.485703856285,7207.029844372058,7337.775383632898,7436.73821775501
7184.0,5416.29061710748,6307.97183367223,6755.923409538518,7026.311445970765,7207.866819585836,7338.620382563472,7437.589234539398
7185.0,5417.015262353854,6308.752642505586,6756.732300248476,7027.137185868162,7208.703792379094,7339.465378928214,7438.440248648971
7186.0,5417.739907214114,6309.533449935602,6757.541189046495,7027.962923548475,7209.540762751833,7340.310372727125,7439.29126008373
7187.0,5418.464551688257,6310.314255962278,6758.350075932573,7028.788659011706,7210.377730704052,7341.155363960205,7440.142268843674
7188.0,5419.189195776285,6311.095060585612,6759.15896090671,7029.614392257854,7211.214696235752,7342.000352627454,7440.993274928805
7189.0,5419.913839478199,6311.875863805607,6759.967843968909,7030.440123286919,7212.051659346933,7342.845338728873,7441.84427833912
7190.0,5420.638482793997,6312.65666562226,6760.776725119166,7031.2658520989,7212.888620037594,7343.69032226446,7442.695279074622
7191.0,5421.363125723679,6313.437466035573,6761.585604357484,7032.091578693798,7213.725578307734,7344.535303234216,7443.546277135308
7192.0,5422.087768267247,6314.218265045547,6762.394481683862,7032.917303071614,7214.562534157356,7345.380281638142,7444.39727252118
7193.0,5422.812410424699,6314.999062652179,6763.203357098299,7033.743025232346,7215.399487586459,7346.225257476237,7445.248265232239
7194.0,5423.537052196036,6315.779858855471,6764.012230600797,7034.568745175994,7216.236438595041,7347.070230748501,7446.099255268482
7195.0,5424.261693581257,6316.560653655421,6764.821102191355,7035.394462902561,7217.073387183104,7347.915201454934,7446.95024262991
7196.0,5424.986334580362,6317.341447052032,6765.629971869972,7036.220178412043,7217.910333350648,7348.760169595535,7447.801227316526
7197.0,5425.710973768123,6318.122237846028,6766.438838550351,7037.045890685924,7218.747276124343,7349.605134229254,7448.652208411482
7198.0,5426.435610293207,6318.903025321047,6767.24770158361,7037.871599115811,7219.58421492279,7350.450094793974,7449.503185367125
7199.0,5427.160246322204,6319.683811300188,6768.056562621112,7038.697305250025,7220.421151225615,7351.29505272025,7450.35415957721
7200.0,5427.884881855114,6320.464595783451,6768.865421662851,7039.523009088566,7221.258085032818,7352.140008008083,7451.205131041735
7201.0,5428.609516891936,6321.245378770835,6769.674278708831,7040.348710631434,7222.095016344397,7352.984960657473,7452.0560997607
7202.0,5429.334151432669,6322.026160262342,6770.483133759051,7041.174409878629,7222.931945160354,7353.829910668418,7452.907065734106
7203.0,5430.058785477317,6322.806940257972,6771.291986813511,7042.000106830151,7223.768871480688,7354.67485804092,7453.758028961955
7204.0,5430.783419025875,6323.587718757723,6772.100837872211,7042.825801485999,7224.605795305399,7355.519802774979,7454.608989444244
7205.0,5431.508052078347,6324.368495761598,6772.909686935151,7043.651493846173,7225.442716634488,7356.364744870594,7455.459947180972
7206.0,5432.232684634731,6325.149271269594,6773.71853400233,7044.477183910676,7226.279635467954,7357.209684327766,7456.310902172144
7207.0,5432.957316695027,6325.930045281712,6774.527379073749,7045.302871679505,7227.116551805797,7358.054621146494,7457.161854417755
7208.0,5433.681948259235,6326.710817797951,6775.336222149408,7046.128557152661,7227.953465648018,7358.899555326779,7458.012803917807
7209.0,5434.406579327356,6327.491588818313,6776.145063229308,7046.954240330144,7228.790376994616,7359.744486868621,7458.863750672301
7210.0,5435.131209899389,6328.272358342798,6776.953902313447,7047.779921211953,7229.627285845592,7360.589415772019,7459.714694681235
7211.0,5435.855839975335,6329.053126371404,6777.762739401825,7048.605599798089,7230.464192200944,7361.434342036972,7460.56563594461
7212.0,5436.580469555193,6329.833892904132,6778.571574494445,7049.431276088553,7231.301096060674,7362.279265663483,7461.416574462427
7213.0,5437.305098638963,6330.614657940982,6779.380407591303,7050.256950083343,7232.137997424782,7363.12418665155,7462.267510234684
7214.0,5438.029727226646,6331.395421481957,6780.189238692401,7051.082621782461,7232.974896293265,7363.969105001174,7463.118443261383
7215.0,5438.754355318241,6332.176183527052,6780.99806779774,7051.908291185904,7233.811792666128,7364.814020712354,7463.969373542522
7216.0,5439.478982913749,6332.956944076268,6781.806894907318,7052.733958293675,7234.648686543367,7365.658933785091,7464.820301078102
7217.0,5440.203610013169,6333.737703129607,6782.615720021136,7053.559623105773,7235.485577924984,7366.503844219385,7465.671225868123
7218.0,5440.928236616502,6334.518460687069,6783.424543139195,7054.385285622197,7236.322466810978,7367.348752015235,7466.522147912585
7219.0,5441.652862723747,6335.299216748652,6784.233364261492,7055.210945842949,7237.159353201348,7368.193657172641,7467.373067211487
7220.0,5442.377488334903,6336.079971314358,6785.042183388029,7056.036603768027,7237.996237096098,7369.038559691604,7468.223983764832
7221.0,5443.102113449972,6336.860724384185,6785.851000518807,7056.862259397431,7238.833118495223,7369.883459572124,7469.074897572616
7222.0,5443.826738068955,6337.641475958136,6786.659815653825,7057.687912731164,7239.669997398726,7370.728356814199,7469.925808634843
7223.0,5444.551362191849,6338.422226036208,6787.468628793082,7058.513563769221,7240.506873806607,7371.573251417833,7470.776716951509
7224.0,5445.275985818656,6339.202974618403,6788.27743993658,7059.339212511607,7241.343747718865,7372.418143383021,7471.627622522617
7225.0,5446.000608949375,6339.983721704719,6789.086249084316,7060.164858958319,7242.1806191355,7373.263032709766,7472.478525348166
7226.0,5446.725231584007,6340.764467295156,6789.895056236293,7060.990503109359,7243.017488056513,7374.107919398069,7473.329425428155
7227.0,5447.449853722551,6341.545211389717,6790.703861392511,7061.816144964725,7243.854354481902,7374.952803447927,7474.180322762586
7228.0,5448.174475365007,6342.3259539884,6791.512664552967,7062.641784524418,7244.691218411669,7375.797684859341,7475.031217351458
7229.0,5448.899096511376,6343.106695091205,6792.321465717664,7063.467421788438,7245.528079845813,7376.642563632313,7475.882109194769
7230.0,5449.623717161658,6343.887434698132,6793.1302648866,7064.293056756785,7246.364938784335,7377.487439766841,7476.732998292523
7231.0,5450.348337315851,6344.668172809181,6793.939062059777,7065.118689429459,7247.201795227234,7378.332313262926,7477.583884644719
7232.0,5451.072956973957,6345.448909424353,6794.747857237193,7065.944319806459,7248.03864917451,7379.177184120567,7478.434768251353
7233.0,5451.797576135976,6346.229644543646,6795.55665041885,7066.769947887787,7248.875500626164,7380.022052339764,7479.285649112429
7234.0,5452.522194801906,6347.010378167061,6796.365441604746,7067.59557367344,7249.712349582196,7380.866917920518,7480.136527227947
7235.0,5453.24681297175,6347.791110294599,6797.174230794881,7068.421197163421,7250.549196042603,7381.711780862829,7480.987402597905
7236.0,5453.971430645505,6348.571840926259,6797.983017989258,7069.246818357729,7251.38604000739,7382.556641166696,7481.838275222304
7237.0,5454.696047823173,6349.35257006204,6798.791803187873,7070.072437256365,7252.222881476553,7383.401498832119,7482.689145101145
7238.0,5455.420664504753,6350.133297701945,6799.600586390728,7070.898053859326,7253.059720450093,7384.246353859099,7483.540012234425
7239.0,5456.145280690246,6350.91402384597,6800.409367597824,7071.723668166615,7253.896556928011,7385.091206247635,7484.390876622148
7240.0,5456.869896379651,6351.694748494119,6801.218146809159,7072.549280178229,7254.733390910305,7385.936055997729,7485.241738264311
7241.0,5457.594511572969,6352.47547164639,6802.026924024734,7073.374889894172,7255.570222396978,7386.780903109378,7486.092597160915
7242.0,5458.319126270199,6353.256193302783,6802.83569924455,7074.20049731444,7256.407051388027,7387.625747582584,7486.94345331196
7243.0,5459.043740471341,6354.036913463297,6803.644472468604,7075.026102439036,7257.243877883454,7388.470589417347,7487.794306717446
