time,sds.I[1]&i_iss.T=2.0,sds.I[1]&i_iss.T=4.0,sds.I[1]&i_iss.T=6.0,sds.I[1]&i_iss.T=8.0,sds.I[1]&i_iss.T=10.0,sds.I[1]&i_iss.T=12.0
5167.0,5043.072803378729,4732.626946246713,4422.187242046602,4111.755012320932,3801.330547104892,3490.913920028764
5168.0,5043.852486228023,4733.406629080187,4422.966924866994,4112.534695138482,3802.110229920666,3491.693602849298
5169.0,5044.632172454723,4734.186315291066,4423.746611064794,4113.314381333439,3802.889916113849,3492.473289047238
5170.0,5045.41186205883,4734.966004879352,4424.526300640003,4114.094070905805,3803.66960568444,3493.252978622583
5171.0,5046.191555040342,4735.745697845041,4425.305993592619,4114.873763855579,3804.449298632439,3494.032671575334
5172.0,5046.971251399259,4736.525394188136,4426.085689922644,4115.65346018276,3805.228994957847,3494.812367905491
5173.0,5047.750951135583,4737.305093908634,4426.865389630077,4116.43315988735,3806.008694660662,3495.592067613054
5174.0,5048.530654249311,4738.084797006539,4427.645092714918,4117.212862969349,3806.788397740886,3496.371770698022
5175.0,5049.310360740445,4738.864503481849,4428.424799177168,4117.992569428756,3807.568104198518,3497.151477160396
5176.0,5050.090070608985,4739.644213334564,4429.204509016825,4118.77227926557,3808.347814033559,3497.931187000176
5177.0,5050.869783854931,4740.423926564684,4429.98422223389,4119.551992479794,3809.127527246007,3498.710900217362
5178.0,5051.649500478282,4741.203643172208,4430.763938828365,4120.331709071424,3809.907243835864,3499.490616811952
5179.0,5052.429220479038,4741.983363157138,4431.543658800248,4121.111429040465,3810.686963803129,3500.270336783949
5180.0,5053.208943857201,4742.763086519474,4432.323382149538,4121.891152386913,3811.466687147803,3501.050060133352
5181.0,5053.988670612769,4743.542813259214,4433.103108876237,4122.670879110768,3812.246413869884,3501.82978686016
5182.0,5054.768400745744,4744.322543376359,4433.882838980344,4123.450609212032,3813.026143969374,3502.609516964374
5183.0,5055.548134256123,4745.102276870909,4434.662572461859,4124.230342690705,3813.805877446272,3503.389250445994
5184.0,5056.327871143907,4745.882013742864,4435.442309320782,4125.010079546785,3814.585614300578,3504.16898730502
5185.0,5057.107611409098,4746.661753992225,4436.222049557114,4125.789819780273,3815.365354532292,3504.94872754145
5186.0,5057.887355051695,4747.44149761899,4437.001793170853,4126.569563391171,3816.145098141415,3505.728471155287
5187.0,5058.667102071697,4748.221244623161,4437.781540162002,4127.349310379476,3816.924845127946,3506.50821814653
5188.0,5059.446852469105,4749.000995004736,4438.561290530558,4128.12906074519,3817.704595491885,3507.287968515178
5189.0,5060.226606243918,4749.780748763716,4439.341044276523,4128.908814488311,3818.484349233233,3508.067722261233
5190.0,5061.006363396137,4750.560505900104,4440.120801399896,4129.688571608841,3819.264106351989,3508.847479384692
5191.0,5061.786123925762,4751.340266413894,4440.900561900677,4130.468332106779,3820.043866848152,3509.627239885558
5192.0,5062.565887832792,4752.120030305089,4441.680325778866,4131.248095982125,3820.823630721724,3510.407003763829
5193.0,5063.345655117228,4752.89979757369,4442.460093034463,4132.02786323488,3821.603397972705,3511.186771019506
5194.0,5064.12542577907,4753.679568219696,4443.239863667469,4132.807633865043,3822.383168601094,3511.966541652588
5195.0,5064.905199818317,4754.459342243107,4444.019637677883,4133.587407872614,3823.162942606891,3512.746315663077
5196.0,5065.68497723497,4755.239119643924,4444.799415065705,4134.367185257593,3823.942719990096,3513.526093050971
5197.0,5066.464755204715,4756.018897597833,4445.579193006623,4135.146963195667,3824.722497926396,3514.305870991959
5198.0,5067.244532039789,4756.798674417069,4446.358969812868,4135.926739999069,3825.502274728026,3515.085647798274
5199.0,5068.02431203432,4757.578454395762,4447.138749778574,4136.706519961932,3826.282054689114,3515.865427764046
5200.0,5068.804095188308,4758.358237533911,4447.918532903738,4137.486303084253,3827.061837809662,3516.645210889275
5201.0,5069.583881501752,4759.138023831517,4448.698319188363,4138.266089366036,3827.841624089669,3517.424997173961
