plasma1.fb,tep_fep.to_SDS_Fraction[1],i_iss.T,blanket.TBR,Doubling_Time,Self_Sufficiency_Time,Startup_Inventory
0.06439,0.20036,5.3396,1.09443,8398.0,114.0,2684.6381063964222
0.06456,0.8253,6.98048,1.07451,8410.0,120.0,1592.402233358779
0.06458,0.96428,8.85618,1.24328,2082.0,86.0,1157.421054865325
0.06461,0.54692,9.98278,1.10043,7458.0,111.0,2645.3801090916068
0.06539,0.54308,10.01722,1.09957,7521.0,111.0,2644.2258318671184
0.06542,0.51928,7.14382,1.15672,4257.0,98.0,2297.24074489219
0.06544,0.2647,10.98048,1.17451,4788.0,96.0,3680.705755727394
0.06561,0.44464,10.6604,1.19443,3808.0,92.0,3004.284032910824
0.0658,0.42981,9.4646,1.24912,2847.0,86.0,2834.3142350349067
0.06597,0.81139,8.91798,1.0792,8017.0,118.0,1716.246469973218
0.06598,0.74873,8.98118,1.24797,2365.0,86.0,1829.630069172327
0.06602,0.53301,10.17028,1.05199,,138.0,2714.335695292038
0.06679,0.52918,10.20472,1.05113,,139.0,2713.491180606894
0.06683,0.73483,7.26882,1.16141,3679.0,96.0,1769.353248181887
0.06685,0.2508,9.04298,1.16982,4639.0,96.0,3271.2795760243957
0.06702,0.67409,9.2146,1.06026,,129.0,2148.7585157566714
0.0672,0.65927,10.4104,1.0962,7228.0,112.0,2278.165480373477
0.06737,0.79748,10.85548,1.08389,7690.0,116.0,1849.573521407098
0.06739,0.53319,9.10618,1.24735,2673.0,86.0,2445.116151049868
0.06742,0.5191,10.35778,1.09644,7888.0,112.0,2718.9715784799796
0.0682,0.51527,10.39222,1.09731,7793.0,112.0,2716.6098902740064
0.06824,0.95037,7.39382,1.1661,3126.0,95.0,1202.688003993538
0.06825,0.23689,7.10548,1.16514,4482.0,96.0,2864.667800285783
0.06842,0.90355,5.0896,1.21495,2415.0,89.0,1249.574064066648
0.06861,0.88872,6.2854,1.15849,3396.0,97.0,1338.820096676209
0.06878,0.78358,11.20702,1.08857,7286.0,114.0,1899.031610131173
0.0688,0.31764,9.23118,1.24266,3025.0,87.0,3033.722766046858
0.06883,0.5052,10.54528,1.14488,4978.0,100.0,2728.129724393214
0.06961,0.50137,10.57972,1.14574,4940.0,100.0,2725.815470852042
0.06964,0.81408,7.51882,1.17078,3295.0,95.0,1557.704592124018
0.06966,0.22298,5.16798,1.16045,4318.0,97.0,2460.454533761169
0.06983,0.847,7.0354,1.13037,4317.0,102.0,1472.101053845854
0.07002,0.86183,5.8396,1.18682,2869.0,92.0,1365.036456428892
0.07019,0.76967,9.26952,1.09326,6745.0,112.0,1809.823136976935
0.0702,0.10209,9.35618,1.23797,3388.0,87.0,3604.421268883061
0.07024,0.49129,10.73278,1.19332,3645.0,92.0,2741.3483088584335
0.07101,0.48746,10.76722,1.19418,3624.0,92.0,2739.2721326502237
0.07105,0.59853,7.64382,1.17547,3574.0,94.0,2071.806774109415
0.07106,0.20908,4.76952,1.15576,4392.0,98.0,2376.250407302549
0.07123,0.61755,11.1604,1.12432,5512.0,104.0,2398.622330143491
0.07142,0.63238,9.9646,1.06787,,124.0,2266.912559199601
0.07159,0.75577,7.33202,1.09795,6250.0,110.0,1710.251898289793
0.07161,0.31345,9.48118,1.23328,3137.0,88.0,3015.0652027554784
0.07164,0.47738,10.92028,1.24176,2882.0,87.0,2757.3867543265687
0.07242,0.47355,10.95472,1.24262,2868.0,87.0,2755.0457204433387
0.07245,0.38298,7.76882,1.18016,3822.0,94.0,2557.1706753150665
0.07247,0.19517,6.70702,1.15107,4854.0,99.0,2772.637484132702
0.07264,0.38809,8.7146,1.22099,3131.0,89.0,2672.450664546037
0.07283,0.40292,9.9104,1.22255,3178.0,89.0,2811.8989463279117
0.073,0.74186,5.39452,1.10264,5795.0,109.0,1600.845631948126
0.07301,0.529,9.60618,1.2286,2875.0,88.0,2415.14440452141
0.07305,0.46348,11.10778,1.20981,3370.0,90.0,2804.6340195119797
0.07383,0.45965,11.14222,1.20894,3382.0,91.0,2802.9034517642735
0.07386,0.16744,7.89382,1.18485,4049.0,93.0,3026.584353279465
0.07388,0.18127,8.64452,1.14639,5347.0,100.0,3166.8510241419253
0.07405,0.15864,4.5896,1.0663,,127.0,2411.2671850342117
0.07423,0.17347,5.7854,1.12276,5949.0,105.0,2599.1519641405484
0.0744,0.72795,4.54298,1.10732,5458.0,108.0,1555.726455936005
0.07442,0.74455,9.73118,1.22391,2602.0,88.0,1805.744389390526
0.07446,0.44957,11.29528,1.16137,4504.0,97.0,2860.3538875339937
0.07523,0.44574,11.32972,1.16051,4526.0,97.0,2858.8473075723177
0.07527,0.24811,8.01882,1.18953,3802.0,92.0,2835.852504150817
0.07528,0.16736,10.58202,1.1417,5875.0,101.0,3559.2242517555314
0.07545,0.27081,7.5354,1.18838,3735.0,93.0,2695.7169326353537
0.07564,0.25598,6.3396,1.13193,5377.0,102.0,2531.4755229021725
0.07581,0.71405,6.48048,1.11201,5356.0,106.0,1700.766586145049
0.07583,0.96009,9.85618,1.21922,2302.0,88.0,1158.499654969585
0.07586,0.43567,11.48278,1.11293,6746.0,107.0,2919.707950807796
0.07664,0.43183,11.51722,1.11207,6796.0,107.0,2918.0070399116385
0.07667,0.46366,8.14382,1.19422,3372.0,92.0,2345.464756874372
0.07669,0.15345,11.48048,1.13701,6252.0,102.0,3737.5599409685965
0.07686,0.50027,11.6604,1.15693,4496.0,98.0,2698.033622563054
