time,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.0,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.1,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.2,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.3,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.4,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.5,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.6,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.7,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.8,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.9
4211.0,3035.154363878334,3223.052597615541,3412.042017616633,3602.427943759361,3794.641319473321,3989.310728659465,4187.390371929429,4390.402275824808,4600.932486306919,4823.757768448305
4212.0,3035.883742270606,3223.791044463178,3412.789532919667,3603.184527517827,3795.40697168722,3990.085449328723,4188.174161053858,4391.195133403872,4601.73441233955,4824.568762932027
4213.0,3036.613128616801,3224.529499206677,3413.537056060502,3603.941119056034,3796.172631622801,3990.860177661605,4188.957957783854,4391.987998530442,4602.53634586163,4825.379764847142
4214.0,3037.34252291692,3225.267961846038,3414.284587039138,3604.697718373981,3796.938299280063,3991.634913658111,4189.741762119414,4392.780871204521,4603.338286873161,4826.190774193647
4215.0,3038.071925170963,3226.006432381261,3415.032125855576,3605.45432547167,3797.703974659008,3992.409657318239,4190.525574060539,4393.573751426105,4604.140235374141,4827.001790971546
4216.0,3038.801335378931,3226.744910812346,3415.779672509815,3606.210940349101,3798.469657759635,3993.184408641991,4191.309393607229,4394.366639195197,4604.942191364571,4827.812815180838
4217.0,3039.530753540821,3227.483397139293,3416.527227001854,3606.967563006272,3799.235348581943,3993.959167629366,4192.093220759484,4395.159534511798,4605.74415484445,4828.623846821521
4218.0,3040.260179656637,3228.221891362102,3417.274789331696,3607.724193443185,3800.001047125934,3994.733934280364,4192.877055517305,4395.952437375905,4606.546125813779,4829.434885893596
4219.0,3040.989613726376,3228.960393480773,3418.022359499338,3608.480831659839,3800.766753391606,3995.508708594985,4193.660897880691,4396.745347787518,4607.348104272558,4830.245932397064
4220.0,3041.719055750039,3229.698903495306,3418.769937504781,3609.237477656234,3801.532467378961,3996.28349057323,4194.44474784964,4397.53826574664,4608.150090220786,4831.056986331925
4221.0,3042.448505727627,3230.437421405701,3419.517523348026,3609.994131432371,3802.298189087997,3997.058280215098,4195.228605424156,4398.331191253268,4608.952083658464,4831.868047698177
4222.0,3043.177963659138,3231.175947211958,3420.265117029071,3610.750792988248,3803.063918518716,3997.83307752059,4196.012470604237,4399.124124307404,4609.754084585592,4832.679116495822
4223.0,3043.907425498051,3231.91447688143,3421.012714526453,3611.507458311444,3803.829651666019,3998.607878490549,4196.796339395546,4399.917060918626,4610.55608901495,4833.490188740316
4224.0,3044.636889126919,3232.653008269905,3421.760313674527,3612.264125219119,3804.595386333273,3999.382680917288,4197.580209581564,4400.709998863371,4611.358094717348,4834.30126219788
4225.0,3045.366360372546,3233.391547217102,3422.507920323287,3613.020799569445,3805.361128385143,4000.157490670607,4198.364087036129,4401.502944018631,4612.160107572225,4835.112342749891
4226.0,3046.095839234933,3234.130093723022,3423.255534472733,3613.777481362422,3806.126877821629,4000.932307750509,4199.147971759241,4402.295896384403,4612.962127579582,4835.923430396348
4227.0,3046.825325714079,3234.868647787664,3424.003156122866,3614.534170598051,3806.892634642731,4001.707132156991,4199.9318637509,4403.088855960689,4613.764154739418,4836.734525137252
4228.0,3047.554819809984,3235.607209411028,3424.750785273684,3615.290867276329,3807.658398848448,4002.481963890055,4200.715763011107,4403.881822747489,4614.566189051736,4837.545626972602
4229.0,3048.284321522649,3236.345778593115,3425.498421925189,3616.047571397258,3808.424170438781,4003.2568029497,4201.49966953986,4404.674796744802,4615.368230516532,4838.356735902398
4230.0,3049.013830852074,3237.084355333924,3426.24606607738,3616.804282960839,3809.18994941373,4004.031649335926,4202.283583337161,4405.467777952627,4616.170279133808,4839.167851926642
4231.0,3049.743347798257,3237.822939633455,3426.993717730258,3617.561001967069,3809.955735773295,4004.806503048734,4203.067504403009,4406.260766370968,4616.972334903565,4839.97897504533
4232.0,3050.4728723612,3238.561531491709,3427.741376883821,3618.317728415951,3810.721529517475,4005.581364088123,4203.851432737405,4407.05376199982,4617.7743978258,4840.790105258467
4233.0,3051.202404540902,3239.300130908685,3428.489043538071,3619.074462307483,3811.487330646272,4006.356232454094,4204.635368340348,4407.846764839187,4618.576467900516,4841.601242566048
4234.0,3051.931944337364,3240.038737884383,3429.236717693007,3619.831203641666,3812.253139159684,4007.131108146646,4205.419311211838,4408.639774889068,4619.378545127713,4842.412386968077
4235.0,3052.661491750585,3240.777352418804,3429.984399348628,3620.5879524185,3813.018955057712,4007.905991165779,4206.203261351875,4409.432792149461,4620.180629507387,4843.223538464551
4236.0,3053.391046780565,3241.515974511947,3430.732088504937,3621.344708637985,3813.784778340356,4008.680881511494,4206.98721876046,4410.225816620367,4620.982721039542,4844.034697055472
4237.0,3054.120609427305,3242.254604163812,3431.479785161931,3622.10147230012,3814.550609007616,4009.455779183789,4207.77118343759,4411.018848301787,4621.784819724178,4844.845862740841
4238.0,3054.850179690804,3242.9932413744,3432.227489319612,3622.858243404906,3815.316447059491,4010.230684182667,4208.555155383269,4411.811887193721,4622.586925561293,4845.657035520654
4239.0,3055.579757571063,3243.73188614371,3432.975200977978,3623.615021952343,3816.082292495983,4011.005596508125,4209.339134597496,4412.604933296168,4623.389038550888,4846.468215394915
4240.0,3056.309343068081,3244.470538471742,3433.722920137031,3624.37180794243,3816.84814531709,4011.780516160165,4210.123121080269,4413.397986609129,4624.191158692963,4847.279402363622
4241.0,3057.038936181857,3245.209198358497,3434.470646796771,3625.128601375168,3817.614005522813,4012.555443138787,4210.90711483159,4414.191047132603,4624.993285987517,4848.090596426776
4242.0,3057.768536912394,3245.947865803974,3435.218380957196,3625.885402250557,3818.379873113151,4013.33037744399,4211.691115851457,4414.98411486659,4625.795420434551,4848.901797584375
4243.0,3058.49814525969,3246.686540808173,3435.966122618307,3626.642210568597,3819.145748088106,4014.105319075773,4212.475124139872,4415.77718981109,4626.597562034065,4849.713005836421
4244.0,3059.227761223745,3247.425223371094,3436.713871780105,3627.399026329287,3819.911630447677,4014.880268034139,4213.259139696835,4416.570271966105,4627.39971078606,4850.524221182914
4245.0,3059.95738480456,3248.163913492739,3437.461628442589,3628.155849532628,3820.677520191863,4015.655224319085,4214.043162522344,4417.363361331632,4628.201866690533,4851.335443623852
4246.0,3060.687016002134,3248.902611173105,3438.209392605759,3628.91268017862,3821.443417320665,4016.430187930614,4214.827192616401,4418.156457907674,4629.004029747487,4852.146673159238
4247.0,3061.416654816468,3249.641316412194,3438.957164269615,3629.669518267262,3822.209321834083,4017.205158868723,4215.611229979004,4418.949561694228,4629.806199956921,4852.95790978907
4248.0,3062.14630124756,3250.380029210005,3439.704943434157,3630.426363798555,3822.975233732117,4017.980137133414,4216.395274610156,4419.742672691296,4630.608377318834,4853.769153513348
4249.0,3062.875955295412,3251.118749566538,3440.452730099386,3631.1832167725,3823.741153014766,4018.755122724686,4217.179326509854,4420.535790898877,4631.410561833227,4854.580404332072
4250.0,3063.605616960024,3251.857477481793,3441.200524265301,3631.940077189094,3824.507079682032,4019.530115642539,4217.963385678099,4421.328916316972,4632.212753500101,4855.391662245243
4251.0,3064.335286241394,3252.596212955772,3441.948325931902,3632.696945048339,3825.273013733913,4020.305115886974,4218.747452114892,4422.12204894558,4633.014952319453,4856.202927252861
4252.0,3065.064963139524,3253.334955988472,3442.696135099189,3633.453820350236,3826.03895517041,4021.08012345799,4219.531525820232,4422.915188784701,4633.817158291286,4857.014199354925
4253.0,3065.794647654414,3254.073706579894,3443.443951767162,3634.210703094783,3826.804903991523,4021.855138355588,4220.31560679412,4423.708335834336,4634.619371415599,4857.825478551435
4254.0,3066.524339786063,3254.81246473004,3444.191775935822,3634.96759328198,3827.570860197251,4022.630160579767,4221.099695036553,4424.501490094484,4635.42159169239,4858.636764842391
4255.0,3067.254039534472,3255.551230438907,3444.939607605168,3635.724490911829,3828.336823787596,4023.405190130527,4221.883790547536,4425.294651565147,4636.223819121662,4859.448058227794
4256.0,3067.983746899639,3256.290003706496,3445.687446775199,3636.481395984328,3829.102794762556,4024.180227007869,4222.667893327065,4426.087820246321,4637.026053703415,4860.259358707644
4257.0,3068.713461881566,3257.028784532808,3446.435293445918,3637.238308499478,3829.868773122133,4024.955271211792,4223.452003375141,4426.88099613801,4637.828295437646,4861.070666281939
4258.0,3069.443184480253,3257.767572917843,3447.183147617322,3637.995228457278,3830.634758866324,4025.730322742296,4224.236120691765,4427.674179240212,4638.630544324358,4861.881980950682
4259.0,3070.172914695698,3258.5063688616,3447.931009289412,3638.75215585773,3831.400751995132,4026.505381599382,4225.020245276934,4428.467369552928,4639.432800363549,4862.693302713871
